name,birthday,nationality
Wagner Moura,1976-06-27,BRAZIL
Rodrigo Santoro,1975-08-22,BRAZIL
Selton Mello,1972-12-30,BRAZIL
Lázaro Ramos,1978-11-01,BRAZIL
Marco Pigossi,1989-02-01,BRAZIL
Alice Braga,1983-04-15,BRAZIL
Sophie Charlotte,1989-04-29,BRAZIL
Tony Ramos,1948-08-25,BRAZIL
Murilo Benício,1971-07-13,BRAZIL
Giovanna Antonelli,1976-03-18,BRAZIL
Meryl Streep,1949-06-22,USA
Robert De Niro,1943-08-17,USA
Morgan Freeman,1937-06-01,USA
Al Pacino,1940-04-25,USA
Tom Hanks,1956-07-09,USA
Denzel Washington,1954-12-28,USA
Johnny Depp,1963-06-09,USA
Julia Roberts,1967-10-28,USA
Anne Hathaway,1982-11-12,USA
Will Smith,1968-09-25,USA
Emma Stone,1988-11-06,USA
Christian Bale,1974-01-30,ENGLAND
Tom Hardy,1977-09-15,ENGLAND
Tom Holland,1996-06-01,ENGLAND
Benedict Cumberbatch,1976-07-19,ENGLAND
Tilda Swinton,1960-11-05,ENGLAND
Daniel Day-Lewis,1957-04-29,ENGLAND
Helen Mirren,1945-07-26,ENGLAND
Ralph Fiennes,1962-12-22,ENGLAND
Zendaya,1996-09-01,USA
Javier Bardem,1969-03-01,SPAIN
Penélope Cruz,1974-04-28,SPAIN
Antonio Banderas,1960-08-10,SPAIN
Paz Vega,1976-01-02,SPAIN
Luis Tosar,1971-10-13,SPAIN
Mario Casas,1986-06-12,SPAIN
Álvaro Morte,1975-02-23,SPAIN
Carmen Maura,1945-09-15,SPAIN
Eduardo Noriega,1973-08-01,SPAIN
